Dataset,Type,nTEterminals,nTEcharacters,nMOLterminals,nMolCharacters,nMorphCharacters,nInvariantCharacters,%MOL/Total,%Morph/Total,nUniqueMorphTerminals,MP_MOL_Score,MP_MOL_nClades,MP_MOL_MeanBS,MP_TE_Score,MP_TE_nClades,MP_TE_MeanBS,MP_MOL/TE_Score,MP_MORPH/TE_Score,nPolytomiesMOL,nPolytomiesTE,nUniqueCladesMOL,nUniqueCladesTE,MOLvsTE_nSharedClades,MOLvsTE_NormalizedRF,MOLvsTE_NormalizedMeanSPR,MOLvsTE_NormalizedMinSPR,MOLvsTE_NormalizedCID,MOLvsTE_ACID,ML_MOL_Score,ML_MOL_MeanBS,ML_MOL_nClades,ML_TE_noASC_Score,ML_TE_noASC_MeanBS,ML_TE_noASC_nClades,ML_MOL/TEnoASC_Score,ML_MORPH/TEnoASC_Score,ML_TE_ASC_Score,ML_TE_ASC_MeanBS,ML_TE_ASC_nClades,ML_MOL/TEASC_Score,ML_MORPH/TeASC_Score,nPolytomiesMOL,nPolytomiesTEnoASC,nPolytomiesTEASC,MOLvsTEASC_nUniqueCladesMOL,MOLvsTEASC_nUniqueCladesTEASC,MOLvsTEASC_nSharedClades,MOLvsTEASC_NormalizedRF,MOLvsTEASC_NormalizedMeanSPR,MOLvsTEASC_NormalizedMinSPR,MOLvsTEASC_NormalizedCID,MOLvsTEASC_ACID,MOLvsTEnoASC_nUniqueCladesMOL,MOLvsTEnoASC_nUniqueCladesTEnoASC,MOLvsTEnoASC_nSharedClades,MOLvsTEnoASC_NormalizedRF,MOLvsTEnoASC_NormalizedMeanSPR,MOLvsTEnoASC_NormalizedMinSPR,MOLvsTEnoASC_NormalizedCID,MOLvsTENOASC_ACID
021_HarringtonReeder,Extant,37,34387,37,33717,670,29,0.980515893,0.019484107,0,40611,32,88,42434,32,94.5,0.957039167,0.042960833,2,1,0,3,32,0.047619048,0.0317038,0.0317038,0.089246721,0.05371,-239011.124,95.2,35,-249211.5909,98.4,35,0.959069051,0.040930949,-249082.568,98.4,35,0.959565842,0.040434158,1,1,1,2,2,33,0.058823529,0.0317038,0.0317038,0.060645943,0.04133,2,2,33,0.058823529,0.0317038,0.0317038,0.060645943,0.04133
022_May,Extant,30,6265,30,6167,98,7,0.984357542,0.015642458,0,3909,24,67.2,4091,21,67.1,0.9555121,0.0444879,2,4,3,0,21,0.073170732,0.04023457,0,0.084605216,0.05018,-25870.5151,84.1,28,-26995.6187,81.8,28,0.958322733,0.041677267,-26962.1115,80.8,28,0.95951369,0.04048631,1,1,1,6,6,22,0.222222222,0.1609383,0.1609383,0.128982997,0.0972,6,6,22,0.222222222,0.1609383,0.1609383,0.128982997,0.0972
023_Price,Extant,59,3973,59,3875,98,0,0.975333501,0.024666499,0,9107,31,55.8,9386,31,63.7,0.970274877,0.029725123,2,2,0,24,31,0.292682927,0.1327641,0.0189663,0.410498031,0.14443,-39809.7655,89.1,57,-41370.4607,92.4,57,0.962275131,0.037724869,-41365.0891,92.6,57,0.962400091,0.037599909,1,1,1,9,9,48,0.160714286,0.1137978,0.1137978,0.152213828,0.07846,9,9,48,0.160714286,0.1137978,0.1137978,0.152213828,0.07452
024_Garwood,Extant,39,4138,39,3885,253,104,0.938859352,0.061140648,0,4066,34,64,4326,34,72.2,0.939898289,0.060101711,2,2,8,5,26,0.21311475,0.1270226,0.089663,0.181698664,0.09881,-22757.4332,88.9,37,-24455.8055,92.6,37,0.93055341,0.06944659,-24231.7713,92.7,37,0.939156817,0.060843183,1,1,1,6,6,31,0.166666667,0.1494383,0.1494383,0.125203624,0.07704,6,6,31,0.16666667,0.1494383,0.1494383,0.125203624,0.07704
025_Geisler,Extant,29,60115,29,59811,304,12,0.994943026,0.005056974,0,38124,25,81.4,39863,25,80.8,0.956375586,0.043624414,2,0,3,6,22,0.183673469,0.1673505,0.1255129,0.142355962,0.0992,-247710.9696,94.8,27,-255026.141,94.4,27,0.971315994,0.028684006,-254377.729,95,27,0.97379189,0.02620811,1,1,1,1,1,26,0.038461538,0.04183764,0.04183764,0.018473782,0.01379,1,1,26,0.038461538,0.04183764,0.04183764,0.018473782,0.01379
026_Jenner,Extant,15,8493,15,8316,177,13,0.979159308,0.020840692,0,8424,14,30.1,8908,14,26.1,0.945666816,0.054333184,0,0,8,8,6,0.666666667,0.3739288,0.3739288,0.456010439,0.40263,-39277.3671,63.1,13,-41767.9039,64.2,13,0.940371995,0.059628005,-41700.5153,65.7,13,0.941891649,0.058108351,1,1,1,10,10,3,0.833333333,0.3739288,0.3739288,0.61942343,0.53457,10,10,3,0.833333333,0.467411,0.467411,0.650473217,0.56906
027_Bapst,Extant,18,3501,18,3435,66,5,0.981148243,0.018851757,0,1004,9,52.1,1200,9,68.1,0.836666667,0.163333333,1,0,0,8,9,0.363636364,0.07407407,0,0.370438684,0.22483,-10269.9125,75.2,16,-11156.7004,80.4,16,0.920515218,0.079484782,-11129.7885,81.5,16,0.92274103,0.07725897,1,1,1,2,2,14,0.133333333,0.07407407,0.07407407,0.085869662,0.06987,2,2,14,0.133333333,0.07407407,0.07407407,0.085869662,0.06987
028_Huang,Extant,26,3157,26,3107,50,3,0.984162179,0.015837821,0,5528,25,79.8,5648,25,83,0.978753541,0.021246459,0,0,2,2,23,0.086956522,0.09500957,0.09500957,0.054879462,0.03863,-26406.0332,87,24,-27115.3238,86,24,0.973841706,0.026158294,-27098.5966,86.1,24,0.974442831,0.025557169,1,1,1,3,3,21,0.130434783,0.09500957,0.09500957,0.127665267,0.0924,3,3,21,0.130434783,0.09500957,0.09500957,0.127665267,0.0924
029_CruzLopezFrancke,Extant,44,4908,44,4836,72,0,0.985330073,0.014669927,0,7032,35,49.6,7384,35,46.1,0.952329361,0.047670639,4,0,12,20,23,0.432432432,0.2613721,0.1829605,0.386296923,0.19862,-35534.0297,89.1,42,-37212.9698,86.4,42,0.954882932,0.045117068,-37212.1035,88.9,42,0.954905161,0.045094839,1,1,1,9,9,33,0.219512195,0.1306861,0.1306861,0.24205687,0.14724,9,9,33,0.219512195,0.1306861,0.1306861,0.24205687,0.14724
030_Rojas,Extant,85,9862,85,9584,278,15,0.971810992,0.028189008,0,22589,75,69.4,25110,75,75,0.899601752,0.100398248,4,5,13,15,62,0.189189189,0.1154664,0.08980716,0.137884269,0.05526,-103118.851,96.4,83,-116538.2767,94.2,83,0.88484963,0.11515037,-116393.7111,94,83,0.885948648,0.114051352,1,1,1,9,9,74,0.109756098,0.1026368,0.1026368,0.08447004,0.03735,9,9,74,0.109756098,0.1026368,0.1026368,0.08447004,0.03735
031_Short,Extant,39,4336,39,4294,42,2,0.990313653,0.009686347,0,3862,34,54.7,3978,34,59.5,0.970839618,0.029160382,2,2,2,4,32,0.09090909,0.06475661,0,0.047632967,0.02854,-22137.3835,90.9,37,-22820.0208,91.9,37,0.970086035,0.029913965,-22810.0525,91.4,37,0.970509976,0.029490024,1,1,1,4,4,33,0.111111111,0.089663,0.089663,0.062260971,0.03864,4,4,33,0.11111111,0.089663,0.089663,0.062260971,0.03864
032_ForthmanWeirauch,Extant,56,4254,56,4055,199,27,0.953220498,0.046779502,0,7539,47,56.8,8247,47,64.3,0.9141506,0.0858494,6,0,6,14,41,0.204081633,0.1605595,0.1605595,0.151086267,0.07516,-36099.1596,88.8,54,-40298.0149,89.4,54,0.89580491,0.10419509,-40177.2834,90,54,0.898496776,0.101503224,1,1,1,10,10,44,0.188679245,0.1806294,0.1806294,0.116547357,0.06677,10,10,44,0.188679245,0.1806294,0.1806294,0.116547357,0.06677
033_CameronMardulyn,Extant,10,2537,10,2442,95,0,0.962554198,0.037445802,0,1939,8,59,2146,8,65.4,0.903541473,0.096458527,1,0,0,1,8,0.076923077,0.1643173,0,0.088212084,0.07896,-10941.1529,70.9,8,-11859.5155,75.9,8,0.922563228,0.077436772,-11852.828,76.7,8,0.923083748,0.076916252,1,1,1,2,2,6,0.285714286,0.1643173,0.1643173,0.207038651,0.19748,0,0,8,0,0,0,0,0
034_Garzon-Ordun,Extant,43,4669,43,4576,93,1,0.980081388,0.019918612,0,2212,40,67.5,2477,40,70.6,0.893015745,0.106984255,2,2,8,8,32,0.210526316,0.1608646,0.1608646,0.174520324,0.09916,-17928.0454,87.7,41,-19520.167,90.2,41,0.918437091,0.081562909,-19479.1385,90.9,41,0.920371576,0.079628424,1,1,1,7,7,34,0.175,0.1072431,0.1072431,0.169565858,0.10004,9,9,32,0.225,0.1340539,0.1340539,0.183084659,0.10836
