Dataset,nTEterminals,nTEcharacters,nMOLterminals,nMolCharacters,nMorphTerminals,nMorphCharacters,nInvariantCharacters,%MOL/Total,%Morph/Total,MP_MOL_Score,MP_MOL_nClades,MP_MOL_TimeScore,MP_MOL_MeanBS,MP_MOL_TimeBS,MP_TE_Score,MP_TE_nClades,MP_TE_TimeScore,MP_TE_MeanBS,MP_TE_TimeBS,MP_MOL/TE_Score,MP_MORPH/TE_Score,MP_nPolytomiesMOL,MP_nPolytomiesTE,MP_nUniqueCladesMOL,MP_nUniqueCladesTE,MP_MOLvsTE_nSharedClades,MP_MOLvsTE_NormalizedRF,MP_MOLvsTE_NormalizedSPR,MP_MOLvsTE_NormalizedCID,ML_MOL_Score,ML_MOL_MeanBS,ML_MOL_nClades,ML_MOL_TimeBS,ML_TE_noASC_Score,ML_TE_noASC_MeanBS,ML_TE_noASC_nClades,ML_TE_noASC_TimeBS,ML_MOL/TEnoASC_Score,ML_MORPH/TEnoASC_Score,ML_TE_ASC_Score,ML_TE_ASC_MeanBS,ML_TE_ASC_nClades,ML_TE_ASC_TimeBS,ML_MOL/TEASC_Score,ML_MORPH/TeASC_Score,ML_nPolytomiesMOL,ML_nPolytomiesTEnoASC,ML_nPolytomiesTEASC,ML_MOLvsTEASC_nUniqueCladesMOL,ML_MOLvsTEASC_nUniqueCladesTEASC,ML_MOLvsTEASC_nSharedClades,ML_MOLvsTEASC_NormalizedRF,ML_MOLvsTEASC_NormalizedSPR,ML_MOLvsTEASC_NormalizedCID,ML_MOLvsTEnoASC_nUniqueCladesMOL,ML_MOLvsTEnoASC_nUniqueCladesTEnoASC,ML_MOLvsTEnoASC_nSharedClades,ML_MOLvsTEnoASC_NormalizedRF,ML_MOLvsTEnoASC_NormalizedSPR,ML_MOLvsTEnoASC_NormalizedCID
025_Geisler,29,60115,29,59811,29,304,12,0.994943026,0.005056974,38124,25,201,81.4,1158,39863,25,225,80.8,1168,0.956375586,0.043624414,2,0,3,6,22,0.183673469,0.1673505,0.142355962,-247710.9696,92.7,27,1637,-255026.141,92.4,27,295144,0.971315994,0.028684006,-254377.729,93.3,27,712306,0.97379189,0.02620811,1,1,1,1,1,26,0.038461538,0.04183764,0.018473782,1,1,26,0.038461538,0.04183764,0.018473782
026_Jenner,15,8493,15,8316,15,177,13,0.979159308,0.020840692,8424,14,19,30.1,134,8908,14,102,26.1,134,0.945666816,0.054333184,0,0,8,8,6,0.666666667,0.3739288,0.456010439,-39277.3671,42.9,13,24538,-41767.9039,51.7,13,25787,0.940371995,0.059628005,-41700.5153,51.2,13,38158,0.941891649,0.058108351,1,1,1,10,10,3,0.833333333,0.3739288,0.61942343,10,10,3,0.833333333,0.467411,0.650473217
027_Bapst,18,3501,18,3435,18,66,5,0.981148243,0.018851757,1004,9,4,52.1,29,1200,9,5,68.1,37,0.836666667,0.163333333,1,0,0,8,9,0.363636364,0.07407407,0.370438684,-10269.9125,72.2,16,4330,-11156.7004,79.5,16,5521,0.920515218,0.079484782,-11129.7885,78.2,16,5739,0.92274103,0.07725897,1,1,1,2,2,14,0.133333333,0.07407407,0.085869662,2,2,14,0.133333333,0.07407407,0.085869662
028_Huang,26,3157,26,3107,26,50,3,0.984162179,0.015837821,5528,25,37,79.8,278,5648,25,38,83,280,0.978753541,0.021246459,0,0,2,2,23,0.086956522,0.09500957,0.054879462,-26406.0332,87,24,22119,-27115.3238,86,24,27222,0.973841706,0.026158294,-27098.5966,86.1,24,29786,0.974442831,0.025557169,1,1,1,3,3,21,0.130434783,0.09500957,0.127665267,3,3,21,0.130434783,0.09500957,0.127665267
029_CruzLopezFrancke,44,4908,44,4836,44,72,0,0.985330073,0.014669927,7032,35,110,49.6,2433,7384,35,166,46.1,2648,0.952329361,0.047670639,4,0,12,20,23,0.432432432,0.2613721,0.386296923,-35534.0297,73.9,42,101762,-37212.9698,75.6,42,78015,0.954882932,0.045117068,-37212.1035,75.6,42,73673,0.954905161,0.045094839,1,1,1,9,9,33,0.219512195,0.1306861,0.24205687,9,9,33,0.219512195,0.1306861,0.24205687
030_Rojas,85,9862,85,9584,85,278,15,0.971810992,0.028189008,22589,75,511,69.4,12044,25110,75,563,75,10337,0.899601752,0.100398248,4,5,13,15,62,0.189189189,0.1154664,0.137884269,-103118.851,91,83,273022,-116538.2767,85.9,83,429123,0.88484963,0.11515037,-116393.7111,85.9,83,445794,0.885948648,0.114051352,1,1,1,9,9,74,0.109756098,0.1026368,0.08447004,9,9,74,0.109756098,0.1026368,0.08447004
031_Short,19,4336,19,4294,19,42,2,0.990313653,0.009686347,1245,15,6,43.4,43,1361,15,6,57.4,44,0.914768553,0.085231447,3,4,6,3,9,0.391304348,0.3462976,0.240226667,-11147.9188,69.7,17,6728,-11835.641,71.2,17,8869,0.941893962,0.058106038,-11825.8332,71.5,17,9008,0.942675126,0.057324874,1,1,1,2,2,15,0.125,0.1385191,0.098780898,2,2,15,0.125,0.1385191,0.098780898
032_ForthmanWeirauch,56,4254,56,4055,56,199,27,0.953220498,0.046779502,7539,47,136,56.8,2623,8247,47,127,64.3,2357,0.9141506,0.0858494,6,0,6,14,41,0.204081633,0.1605595,0.151086267,-36099.1596,76.9,54,60578,-40298.0149,78.8,54,151590,0.89580491,0.10419509,-40177.2834,79,54,168183,0.898496776,0.101503224,1,1,1,10,10,44,0.188679245,0.1806294,0.116547357,10,10,44,0.188679245,0.1806294,0.116547357
033_CameronMardulyn,10,2537,10,2442,10,95,0,0.962554198,0.037445802,1939,8,2,59,11,2146,8,2,65.4,12,0.903541473,0.096458527,1,0,0,1,8,0.076923077,0,0.088212084,-10941.1529,70.1,8,5874,-11859.5155,75.6,8,6935,0.922563228,0.077436772,-11852.828,75.4,8,7198,0.923083748,0.076916252,1,1,1,2,2,6,0.285714286,0.1643173,0.207038651,0,0,8,0,0,0
034_Garzon-Ordun,43,4669,43,4576,43,93,1,0.980081388,0.019918612,2212,40,22,67.5,244,2477,40,26,70.6,260,0.893015745,0.106984255,2,2,8,8,32,0.210526316,0.1608646,0.174520324,-17928.0454,78.9,41,40558,-19520.167,82.9,41,67654,0.918437091,0.081562909,-19479.1385,82.8,41,63929,0.920371576,0.079628424,1,1,1,7,7,34,0.175,0.1072431,0.169565858,9,9,32,0.225,0.1340539,0.183084659
