index,minSPR,maxSPR,meanSPR,minRF,maxRF,meanRF,minCID,maxCID,meanCID,comparison
17,0.17069674479506558,0.17069674479506558,0.17069674479506558,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.17843048969816702,0.17843048969816702,0.17843048969816702,MPmol_MPte
18,0.12628078438842383,0.12628078438842383,0.12628078438842383,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.11428534191086884,0.11428534191086884,0.11428534191086884,MPmol_MPte
19,0.04261731169597748,0.04261731169597748,0.04261731169597748,0.04,0.04,0.04,0.05096022860928362,0.05096022860928362,0.05096022860928362,MPmol_MPte
20,0.07648908815731162,0.10198545087641549,0.08923726951686356,0.07142857142857142,0.09523809523809523,0.08333333333333333,0.07832895219604334,0.08725582870691917,0.08279239045148126,MPmol_MPte
21,0.031703800162124256,0.06340760032424851,0.04755570024318638,0.08823529411764706,0.11764705882352941,0.10294117647058823,0.08663268140093658,0.14614874700467292,0.11011764891212583,MPmol_MPte
22,0,0.1609382786042821,0.08829252784540476,0,0.18518518518518517,0.10699588477366255,0,0.134128106328121,0.07254169458089463,MPmol_MPte
23,0.01896630497722951,0.15173043981783607,0.07586521990891804,0.03571428571428571,0.23214285714285715,0.11458333333333333,0.01589656925144857,0.1994698410280148,0.0863628554401109,MPmol_MPte
24,0.08966299606609776,0.17932599213219552,0.12702257776030518,0.1111111111111111,0.2777777777777778,0.19444444444444445,0.08715119652011306,0.1802187755279391,0.1304143266320525,MPmol_MPte
25,0.12551290961043846,0.16735054614725128,0.14643172787884487,0.15384615384615385,0.23076923076923078,0.20192307692307693,0.1157145851830071,0.16644560592099802,0.14227658509811011,MPmol_MPte
26,0.3739287748426665,0.3739287748426665,0.3739287748426665,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4560104387842636,0.4560104387842636,0.4560104387842636,MPmol_MPte
27,0,0.2222222222222222,0.1388888888888889,0,0.5333333333333333,0.2708333333333333,0,0.27869248166434046,0.15105350736974466,MPmol_MPte
28,0.09500957342895443,0.09500957342895443,0.09500957342895443,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.054879461973870704,0.054879461973870704,0.054879461973870704,MPmol_MPte
29,0.1829604746279699,0.2613721066113856,0.2308786941733906,0.36585365853658536,0.4878048780487805,0.4268292682926829,0.2761318375062718,0.396562948433328,0.34325640529476276,MPmol_MPte
30,0.08980716491445066,0.153955139853344,0.12736337287971344,0.12195121951219512,0.24390243902439024,0.19108856976420233,0.10721290501140389,0.15027015809683414,0.13100983973197797,MPmol_MPte
31,0,0.08966299606609776,0.06475660826995949,0,0.16666666666666666,0.08796296296296297,0,0.07727957375750935,0.04299881093128586,MPmol_MPte
32,0.16055950045226788,0.18062943800880135,0.17059446923053462,0.16981132075471697,0.24528301886792453,0.20754716981132076,0.10217717815785897,0.16124919818239603,0.13488447066206724,MPmol_MPte
33,0,0.164317300688905,0.0821586503444525,0,0.14285714285714285,0.07142857142857142,0,0.14307118125113225,0.07153559062556612,MPmol_MPte
34,0.16086464583576598,0.16086464583576598,0.16086464583576598,0.225,0.225,0.225,0.17662572630876516,0.17766999632093103,0.1771478613148481,MPmol_MPte
35,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.125,0.125,0.125,0.15635126334101587,0.15635126334101587,0.15635126334101587,MPmol_MPte
36,0.10441251397881429,0.10441251397881429,0.10441251397881429,0.09523809523809523,0.14285714285714285,0.13095238095238093,0.06712634916493852,0.10590540587175375,0.09009230866169388,MPmol_MPte
37,0,0,0,0,0,0,0,0,0,MPmol_MPte
38,0.14381501078495407,0.14381501078495407,0.14381501078495407,0.3050847457627119,0.3220338983050847,0.3135593220338983,0.2014870989238955,0.20578131585056195,0.2036342073872287,MPmol_MPte
39,0.32172929167153197,0.32172929167153197,0.32172929167153197,0.575,0.6,0.5833333333333333,0.3098035023299667,0.3162010616234078,0.3135902283874737,MPmol_MPte
40,0,0,0,0,0,0,0,0,0,MPmol_MPte
41,0.01896630497722951,0.17069674479506558,0.08734482555303064,0.05357142857142857,0.2857142857142857,0.15390037593984962,0.0193913420182722,0.16189406236740003,0.08316903573420333,MPmol_MPte
42,0.10125653050554106,0.1687608841759018,0.14625943295244823,0.125,0.25,0.203125,0.11055989900238264,0.1657570325429339,0.134060333848095,MPmol_MPte
43,0.1726520069662338,0.3261204576028861,0.2492134757809769,0.3211009174311927,0.5412844036697247,0.4449694855643459,0.21556933973356138,0.3523649664500567,0.2884937914705615,MPmol_MPte
44,0.02905473921710005,0.29054739217100045,0.17228081925308017,0.02702702702702703,0.40540540540540543,0.24125728241633584,0.017349688062035858,0.23455652103954877,0.13896542778178234,MPmol_MPte
45,0.025023456587863712,0.058388065371681994,0.04216915832399255,0.048,0.112,0.07866666666666666,0.07402307812914714,0.09359118277346201,0.08430823294490652,MPmol_MPte
46,0.0471939740178411,0.0471939740178411,0.0471939740178411,0.06741573033707865,0.06741573033707865,0.06741573033707865,0.05712952083888458,0.05712952083888458,0.05712952083888458,MPmol_MPte
47,0,0.07889310527688237,0.039446552638441185,0,0.11940298507462686,0.05970149253731343,0,0.11088323917135819,0.05544062376498282,MPmol_MPte
48,0.04261731169597748,0.1065432792399437,0.0793155523230692,0.06,0.14,0.10185185185185186,0.03431199794703076,0.06501235896741386,0.04774884379623879,MPmol_MPte
49,0,0.06340760032424851,0.036987766855811635,0,0.08823529411764706,0.04411764705882353,0,0.08552064932568558,0.04297541668670802,MPmol_MPte
50,0.04860917441246692,0.1296244650999118,0.09103113137123073,0.0694006309148265,0.1861198738170347,0.13014943347074706,0.026736371412425908,0.08337077029297962,0.05750451528561968,MPmol_MPte
51,0,0.042966785626190725,0.02427313833232549,0,0.05416666666666667,0.0313523356901847,0,0.021110579527625316,0.011377785005969152,MPmol_MPte
52,0.11533470853467404,0.18453553365547845,0.15498101459346822,0.23076923076923078,0.3516483516483517,0.2975486052409129,0.1449755070861128,0.18329438793257063,0.1650066664932118,MPmol_MPte
53,0.06789089189563544,0.12899269460170734,0.10400164583497304,0.1830065359477124,0.2875816993464052,0.24000132039347724,0.06661808722864654,0.10323337721458452,0.08811248564800925,MPmol_MPte
54,0.13005017626220144,0.19507526439330217,0.16256272032775182,0.17647058823529413,0.23529411764705882,0.20588235294117646,0.12833480740919448,0.18731872076663403,0.15782676408791424,MPmol_MPte
55,0,0,0,0,0,0,0,0,0,MPmol_MPte
56,0,0,0,0,0,0,0,0,0,MPmol_MPte
57,0.026137210661138558,0.026137210661138558,0.026137210661138558,0.0975609756097561,0.0975609756097561,0.0975609756097561,0.08218020873424499,0.08218020873424499,0.08218020873424499,MPmol_MPte
